10yardfight "10-Yard Fight (USA)"
ja8bitadv "Jane Austen's 8-bit Adventure (HB, v1.0.538)"
jackal "Jackal (USA)"
jackalc "Jackal (Hack, Chinese v1.1)"
jackalem "Jackal - Endless Mission (v1.2)"
jackiechan "Jackie Chan (USA)"
jackiechanj "Jackie Chan (Japan)"
jacknicgre18homachg "Jack Nicklaus' Greatest 18 Holes of Major Championship Golf (USA)"
jajamgek "Ninja JaJaMaru - Legend of The Golden Castle (English)"
jajamgeke "Jajamaru Gekimaden - Maboroshi no Kinmajou (Hack, English)"
jajamgekj "Jajamaru Gekimaden - Maboroshi no Kinmajou (Japan)"
jajamnincho "Ninja JaJaMaru - The Ninja Skill Book (English)"
jajamninchoe "Jajamaru Ninpou Chou (Hack, English)"
jajamninchoj "Jajamaru Ninpou Chou (Japan)"
jajamnodai "Ninja JaJaMaru's Big Adventure (English)"
jajamnodaij "Ninja Jajamaru no Daibouken (Japan)"
jamesbondjr "James Bond Jr (USA)"
jamg "JAMG - The Lost Coins (HB)"
jamhoney "Jammin Honey (HB)"
janggunuiadeul "Janggun-ui Adeul (Korea)"
jarvas "Distant Legend of Jarvas (Hack, English)"
jarvasj "Mirai Shinwa Jarvas (Japan)"
jaws "Jaws (USA)"
jaysilent "Jay and Silent Bob Mall Brawl (HB)"
jester "Jester (HB)"
jesterv2 "Jester (HB, Alt)"
jesus "Jesus: Tale of the Dreadful Bio-Monster (Hack, English)"
jesusj "Jesus - Kyoufu no Bio Monster (Japan)"
jetpaco "Jet-Paco (HB)"
jetsons "Jetsons, The - Cogswell's Caper! (USA)"
jetsonsj "Jetsons, The - Cogswell's Caper! (Japan)"
jigokgokmar "Jigoku Gokuraku Maru (Japan)"
jigokgokmarc "Jigoku Gokuraku Maru (Hack, Chinese)"
jikuuyuu "Jikuu Yuuden - Debias (Japan)"
jimmyconten "Jimmy Connors Tennis (USA)"
jimndill "Jim & Dill - The Legend of Weed N' Stiff (HB)"
jimndill2 "Jim & Dill II - Bobson's Revenge (HB)"
jimndill3 "Jim & Dill III (HB)"
jimpower "Jim Power - The Lost Dimension (HB)"
jinglesdef "Jingles Defense (HB)"
jj "JJ (Japan)"
jleafigsoc "J.League Fighting Soccer - The King of Ace Strikers (Japan)"
jleawingoa "J.League Winning Goal (Japan)"
joemac "Joe & Mac (USA)"
johnelwsqua "John Elway's Quarterback (USA)"
jongbou "Jongbou (Japan)"
jordavsbir "Jordan vs Bird - One On One (USA)"
joshubatjer "Joshua & the Battle of Jericho (USA)"
journeyal "Journey to the Center of the Alien (HB, English)"
journeyals "Journey to the Center of the Alien (HB, Spanish)"
journsil "Journey to Silius (USA)"
joust "Joust (USA)"
jovialrace "Jovial Race (Unl)"
joymechfight "Joy Mech Fight (Hack, English)"
joymechfightj "Joy Mech Fight (Japan)"
jujudensetsu "JuJu Densetsu (Japan)"
jumboozanoholinonep "Jumbo Ozaki no Hole in One Professional (Japan)"
jumpikid "Jumpin' Kid - Jack to Mame no Ki Monogatari (Japan)"
jumpjump "Jump-Jump (Unl)"
junglebookthe "Jungle Book, The (USA)"
junglebooktheb "Jungle Book, The - Brightness Fix (Hack)"
junglebookthec "Jungle Book, The (Hack, Spanish)"
junkoid "Junkoid (GlobalHack, v1.1)"
jurassicboy "Jurassic Boy (Asia) (Unl)"
jurassicpark "Jurassic Park (USA)"
justbreed "Just Breed (Hack, English)"
justbreedc "Just Breed (Hack, Spanish v2.0)"
justbreedj "Just Breed (Japan)"
justice "Justice (HB)"
justiceduel "Justice Duel (HB)"
juuouki "Juuouki ~ Altered Beast (Hack, English)"
juuoukij "Juuouki (Japan)"
juurysoumetsto "Juuryoku Soukou Metal Storm (Japan)"
juveiquest "Juvei Quest (Hack, English)"
juveiquestj "Juvei Quest (Japan)"
jy45in1 "JY 45-in-1 (Taiwan) (Unl)"
kabuki "Kabuki - Quantum Fighter (USA)"
kage "Kage (Japan)"
kagec "Kage (Hack, Chinese)"
kagenodensetsu "Kage no Densetsu (Japan)"
kagenodensetsuc "Kage no Densetsu (Hack, Chinese)"
kageroudensetsu "Kagerou Densetsu (Japan)"
kaguyae "Kaguya Hime Densetsu (Hack, English)"
kaguyaj "Kaguya Hime Densetsu (Japan)"
kaikeyanmar "Kaiketsu Yancha Maru (Japan)"
kaikeyanmar2 "Kaiketsu Yancha Maru 2 - Karakuri Land (Hack, English)"
kaikeyanmar2j "Kaiketsu Yancha Maru 2 - Karakuri Land (Japan)"
kaikeyanmar3 "Kaiketsu Yancha Maru 3 - Taiketsu! Zouringen (Hack, English)"
kaikeyanmar3j "Kaiketsu Yancha Maru 3 - Taiketsu! Zouringen (Japan)"
kakefkunnojumte "Kakefu-kun no Jump Tengoku - Speed Jigoku (Japan)"
kamennoninaka "Kamen no Ninja - Akakage (Japan)"
kamennoninhan "Kamen no Ninja Hanamaru (Japan)"
kamenoong "Kame no Ongaeshi - Urashima Densetsu (Japan)"
kamenriderclub "Kamen Rider Club (Japan)"
kamenridersd "Kamen Rider SD - The Ambitions of Grand Shocker (Hack, English)"
kamenridersdj "Kamen Rider SD - Granshocker no Yabou (Japan)"
kamimariodx "Kamikaze Mario DX+ (GlobalHack, v1.9)"
kanshnagkannotogots "Kanshakudama Nage Kantarou no Toukaidou Gojuusan-tsugi (Japan)"
karakkendenmuslo "Karakuri Kengou Den Musashi Lord - Karakuribito Hashiru (Japan)"
karatechamp "Karate Champ (USA, Rev A)"
karateka "Karateka (Japan)"
karatekac "Karateka (Hack, Spanish)"
karatekick "Karate Kick (HB)"
karatekidthe "Karate Kid, The (USA)"
karatekidthec "Karate Kid, The (Hack, Spanish)"
karnov "Karnov (USA)"
kartfighter "Kart Fighter (Unl)"
kerokerkernoda "Kero Kero Keroppi no Daibouken (Hack, English)"
kerokerkernoda2 "Kero Kero Keroppi no Daibouken 2 - Donuts Ike wa Oosawagi! (Hack, English)"
kerokerkernoda2j "Kero Kero Keroppi no Daibouken 2 - Donuts Ike wa Oosawagi! (Japan)"
kerokerkernodaj "Kero Kero Keroppi no Daibouken (Japan)"
keropkernosplbo "Keroppi to Keroriinu no Splash Bomb! (Hack, English)"
keropkernosplboj "Keroppi to Keroriinu no Splash Bomb! (Japan)"
kharzoid "Trial of Kharzoid, The (HB, v1.2)"
kicklecubicle "Kickle Cubicle (USA)"
kickmaster "Kick Master (USA)"
kickmasterc "Kick Master (Hack, Chinese)"
kickoff "Kick Off (Euro)"
kiddracula "Kid Dracula (Hack, English)"
kiddysuninfan "Kiddy Sun in Fantasia (Taiwan)"
kidicarus "Kid Icarus (USA, Euro)"
kidkloinnigmawo "Kid Klown in Night Mayor World (USA)"
kidkooandquesewohe "Kid Kool and the Quest for the Seven Wonder Herbs (USA)"
kidnik "Kid Niki - Radical Ninja (USA, Rev A)"
kidousenzgun "Kidou Senshi Z Gundam - Hot Scramble (Japan)"
kidousenzgunj "Kidou Senshi Z Gundam - Hot Scramble (Japan, Final Version)"
kingkin "King of Kings, The (USA, v5.0) (Unl)"
kingkon2 "King Kong Lives: Megaton Punch of Rage (Hack, English)"
kingkon2j "King Kong 2 - Ikari no Megaton Punch (Japan)"
kingofkings "King of Kings (Japan)"
kingsbea "Kings of the Beach (USA)"
kingsknight "King's Knight (USA)"
kingsknightj "King's Knight (Japan)"
kingsquestv "King's Quest V (USA)"
kinni "Kinnikuman - Muscle Tag Match (Japan)"
kirakirstanigac "Kira Kira Star Night AC (HB)"
kirakirstanigdx "Kira Kira Star Night DX (HB)"
kirakirstaniggo "Kira Kira Star Night GOLD (HB)"
kirbysadv "Kirby's Adventure (USA, Rev A)"
kirbysadvc "Kirby's Adventure (Hack, Chinese)"
kirbyshlw "Kirby's Halloween Adventure (Hack, v1.4)"
kiterdai "Kiteretsu Daihyakka (Hack, English)"
kiterdaij "Kiteretsu Daihyakka (Japan)"
kittyscatch "Kitty's Catch (USA)"
kiwikra "Kiwi Kraze - A Bird-Brained Adventure! (USA)"
klashball "KlashBall (USA)"
klax "Klax (USA) (Unl)"
knightrider "Knight Rider (USA)"
kokoadventure "Koko Adventure (Korea)"
konamhypsoc "Konami Hyper Soccer (Euro)"
konamspoinseo "Konamic Sports in Seoul (Japan)"
kosatak "Kosmity Atakujo (HB, v10.07.2020)"
krazykreatures "Krazy Kreatures (USA) (Unl)"
krioncon "Krion Conquest, The (USA)"
krustsfunhou "Krusty's Fun House (USA)"
krustsfunhouc "Krusty's Fun House (Hack, Spanish)"
kujakuou "Kujaku Ou (Japan)"
kujakuou2 "Kujaku Ou II (Japan)"
kungfu "Kung Fu (Japan, USA)"
kungfuc "Kung Fu (Hack, Chinese)"
kungfuheroes "Kung-Fu Heroes (USA)"
kuniokunnoneksole "Kunio-kun no Nekketsu Soccer League (Japan)"
kyoursenjuu "Kyouryuu Sentai Juuranger (Hack, English)"
kyoursenjuuc "Kyouryuu Sentai Juuranger (Hack, Chinese)"
kyoursenjuuj "Kyouryuu Sentai Juuranger (Japan)"
kyuukyokutiger "Kyuukyoku Tiger (Japan)"
labbaye "L'Abbaye des Morts (HB, M5)"
lagrangepoint "Lagrange Point (Hack, English)"
lagrangepointj "Lagrange Point (Japan)"
lalathemagical "Lala the Magical (HB)"
lanmaster "Lan Master (HB, v1.2)"
larry "Larry (HB)"
larrya "Larry (HB, Alt)"
lasalishii "Lasalle Ishii no Child's Quest (Japan)"
laserinvasion "Laser Invasion (USA)"
lastactionhero "Last Action Hero (USA)"
lastarmageddon "Last Armageddon (Hack, English v1.02a)"
lastarmageddonj "Last Armageddon (Japan)"
lastninjathe "Last Ninja, The (USA)"
laststa "Last Starfighter, The (USA)"
laweste "Law of the West (Hack, English)"
lawestj "Law of the West (Japan)"
lawnmower "Lawn Mower (HB, v1.1)"
layla "Layla (Hack, English)"
laylaj "Layla (Japan)"
leetresfiggo "Lee Trevino's Fighting Golf (USA)"
legacwiz "Legacy of the Wizard (USA)"
legacwizc "Legacy of the Wizard (Hack, Spanish)"
legenbal "Legend of Balubalouk, The (Hack, English v1.1)"
legenbalj "Legend of Balubalouk, The (Japan)"
legendarywings "Legendary Wings (USA)"
legendsm "Legend of Super Mario, The: Save Mushroom Kingdom (GlobalHack, v1.2)"
legendsofowlia "Legends of Owlia (HB)"
legenfum "Legend of Fuma, The (Hack, English)"
legenkag "Legend of Kage, The (USA)"
legenzel "Legend of Zelda, The (USA, Rev A)"
legenzelad "Legend of Zelda, The - Ancient Dungeon (Hack, v3.0)"
legenzeldl "Legend of Zelda, The - Dark Labyrinth (HB)"
legenzeldx "Legend of Zelda DX, The (Graphics Hack)"
legenzeli "Legend of Zelda, The (Hack, Italian)"
legenzelrd "Legend of Zelda Redux, The (Hack, v3.3.3)"
leglutliv "Leggite Luta Livre (HB)"
leglutlivr "Leggite Luta Livre Remaster (HB)"
legwns "Legend of Weed N' Stiff, The (HB)"
legwnsdx "Legend of Weed N' Stiff DX, The (HB)"
legwnssdx "Legend of Weed N' Stiff SDX, The (HB)"
leidiahuabikaqiuchs "Lei Dian Huang Bi Ka Qiu Chuan Shuo (China)"
lemmings "Lemmings (USA)"
lemmingsimp "Lemmings Improvement (Hack, v1.3)"
lethalweapon "Lethal Weapon (USA)"
lifeforce "Life Force (USA)"
lightsout "Lights Out (HB)"
linusspascoscr "Linus Spacehead's Cosmic Crusade (USA)"
lionkingthe "Lion King, The (Euro)"
lionkingthec "Lion King, The (Hack, Spanish)"
lionkinleg "Lion King Legend, The (Hack, English)"
lionkinlegc "Lion King Legend, The (China) (Unl)"
littlelanc "Little Lancelot (HB)"
littleleague "Little League Baseball - Championship Series (USA)"
littlemagic "Little Magic (Japan)"
littlemagicc "Little Magic (Hack, Chinese, MS Team 2nd Rev)"
littlemedusa "Little Medusa (HB)"
littlesamson "Little Samson (USA)"
littlesamsonh "Little Samson Restoration & Sound Hack (Hack)"
littlmer "Little Mermaid, The (USA)"
littlmerj "Little Mermaid, The (Japan)"
littlnem "Little Nemo - The Dream Master (USA)"
littlnemc "Little Nemo - The Dream Master (Hack, Chinese)"
littlninbro "Little Ninja Brothers (USA)"
lizard "Lizard (HB, English)"
lizardj "Lizard (HB, Japan)"
lizardp "Lizard (HB, Portuguese)"
lizards "Lizard (HB, Spanish)"
loderunner "Lode Runner (USA)"
logjammers "Log Jammers (HB)"
lonerangerthe "Lone Ranger, The (USA)"
loopz "Loopz (USA)"
lotlot "Lot Lot (Japan)"
lowgman "Low G Man - The Low Gravity Man (USA)"
lsisyphus "Little Sisyphus (HB)"
luckypenguin "Lucky Penguin (HB)"
lunarlimit "Lunar Limit (HB)"
lunarlimitsw "Lunar Limit - Star Wars Edition (HB)"
lunarpool "Lunar Pool (USA)"
lupin3gt "Lupin III: Gentle Thief (Hack)"
lupinsan "Lupin Sansei - Pandora no Isan (Hack, English)"
lupinsanc "Lupin Sansei - Pandora no Isan (Hack, Spanish)"
lupinsanj "Lupin Sansei - Pandora no Isan (Japan)"
lupinsansc "Lupin Sansei - Pandora no Isan (Hack, Chinese)"
machinecave "Machine Cave (HB, v1.9)"
machrider "Mach Rider (USA)"
madcity "Mad City (Hack, English)"
madcityc "Mad City (Hack, Chinese v2)"
madcityj "Mad City (Japan)"
madmax "Mad Max (USA)"
madwiz "Mad Wizard, The - A Candelabra Chronicle (HB)"
madwizsds "Mad Wizard, The - A Candelabra Chronicle (HB) (Sly Dog Studios)"
mafatcon "Mafat Conspiracy - Golgo 13 (USA)"
mafatconc "Mafat Conspiracy - Golgo 13 (Hack, Spanish v1.1)"
magicblock "Magic Block (Unl)"
magiccar100 "Magic Carpet 1001 (Unl)"
magicdarts "Magic Darts (USA)"
magicdragon "Magic Dragon (Japan)"
magician "Magician (USA)"
magicjewelry "Magic Jewelry (Unl)"
magicjewelry2 "Magic Jewelry 2 (Unl)"
magicjohn "Magic John (Japan)"
magicjohsfasbr "Magic Johnson's Fast Break (USA)"
magickidgoogoo "Magic Kid GooGoo (Unl)"
magickidsdor "Magical Kid's Doropie (Japan)"
magickidsdorp "Magical Kid's Doropie (Prototype)"
magicsch "Magic of Scheherazade, The (USA)"
magicschc "Magic of Scheherazade, The (Hack, Spanish v0.99)"
magictarkun "Magical Taruruuto-kun - Fantastic World!! (Japan)"
magictarkun2 "Magical Taruruuto-kun 2 - Mahou Daibouken (Japan)"
magictrl "Magical Control (HB)"
magmax "Magmax (USA)"
magnilocase "Magnilo Case, The (HB, v1.11)"
maharaja "Maharaja (Hack, English v0.99)"
maharajaj "Maharaja (Japan)"
mahjongblock "Mahjong Block (Unl)"
majorleabas "Major League Baseball (USA, Rev A)"
majorleague "Major League (Japan)"
majoudenii "Majou Densetsu II - Daimashikyou Galious (Japan)"
majoudeniic "Majou Densetsu II - Daimashikyou Galious (Hack, Chinese v2.2)"
makaimura "Makaimura (Japan)"
makaimuraarcade "Makaimura Arcade (Hack)"
makaimurac "Makaimura (Hack, Chinese)"
mancmansuproc "Maniac Mansion (Hack, Spanish)"
maniacmansion "Maniac Mansion (USA)"
maniacmansione "Maniac Mansion (Euro)"
maniacmansionf "Maniac Mansion (France)"
maniacmansiong "Maniac Mansion (Germany)"
maniacmansioni "Maniac Mansion (Italy)"
maniacmansionj "Maniac Mansion (Japan)"
maniacmansions "Maniac Mansion (Spain)"
maniacmansionsw "Maniac Mansion (Sweden)"
maniacmansionuproto "Maniac Mansion (USA) (Prototype)"
maniacmanunc "Maniac Mansion Uncensored (Hack, v2.0)"
mappy "Mappy (Japan)"
mappyc "Mappy (Hack, Chinese v2.0)"
mappykids "Mappy Kids (Hack, English)"
mappykidsc "Mappy Kids (Hack, Chinese v1.1)"
mappykidsj "Mappy Kids (Japan)"
mappyland "Mappy-Land (USA)"
marblemadness "Marble Madness (USA)"
marioadventure "Mario Adventure (Hack)"
marioadventure3 "Mario Adventure 3 (Hack, v1.9.9)"
mariobros "Mario Bros. (World)"
mariobrosmc0 "Mario Bros. (Euro, MC-0 Classic Series)"
marioevo2 "Mario Evolution 2 (Hack, v2.1)"
mariokart "Mario Kart (Hack, v1.1)"
marioquest "Mario Quest (GlobalHack)"
mariotank "Mario The Tank (Hack, v1.0.2a)"
mashieiydenwatga "Mashin Hero Wataru Gaiden (Hack, English)"
mashieiydenwatgaj "Mashin Eiyuu Den Wataru Gaiden (Japan)"
maskedninhan "Masked Ninja Hanamaru (Hack, English v1.1)"
mastechuanddruhu "Master Chu and the Drunkard Hu (USA) (Unl)"
mastershooter "Master Shooter (Unl)"
matendouji "Matendouji (Japan)"
matendoujic "Matendouji (Hack, Chinese)"
mattockmike "Mattock Mike - The Legend of Pete (HB)"
maurimursu "Mauri Mursu's Hangover (HB)"
mawthorne "Mawthorne (USA) (HB)"
mawthornej "Mawthorne (Japan) (HB)"
maxwar "Max Warrior - Wakusei Kaigenrei (Japan)"
mckids "M.C. Kids (USA)"
mctrial "Metal Cancer Trial (HB)"
mdensetsu "Momotarou Densetsu ~ The Peach Boy Legend (Hack, English)"
mdensetsuj "Momotarou Densetsu ~ The Peach Boy Legend (Japan)"
mdfootball "Mike Ditka's Big Play Football (Unl)"
meating "Meating, The (HB)"
meatingcp "Meating, The - Cafeparty (HB, Demo)"
mechaatt "Mechanized Attack (USA)"
megaman "Mega Man (USA)"
megaman2 "Mega Man II (USA)"
megaman2c "Mega Man II (Hack, Spanish)"
megaman3 "Mega Man III (USA)"
megaman3c "Mega Man III (Hack, Spanish)"
megaman3imp "Mega Man III Improvement (Hack, v3.0)"
megaman3rev "Mega Man III Revamped (Hack, v1.1)"
megaman4 "Mega Man IV (USA, Rev A)"
megaman4c "Mega Man IV (Hack, Spanish)"
megaman5 "Mega Man V (USA)"
megaman5c "Mega Man V (Hack, Spanish)"
megaman6 "Mega Man VI (USA)"
megaman6c "Mega Man VI (Hack, Spanish v1.1)"
megamanc "Mega Man (Hack, Spanish)"
megamancx "Mega Man CX (Hack, v1.1)"
megamantnl "Mega Man: The New Lands (Hack, v1.3)"
megamanx "Mega Man Age of Wily (Hack)"
meikyuujima "Meikyuu-jima (Japan)"
menacebeach "Menace Beach (USA) (Unl)"
mendelpalace "Mendel Palace (USA)"
metalfighter "Metal Fighter (Asia) (Unl)"
metalforce "Metal Force (Korea) (Unl)"
metalgear "Metal Gear (USA)"
metalgearc "Metal Gear (Hack, Spanish)"
metalgearsc "Metal Gear (Hack, Chinese)"
metalmax "Metal Max (Hack, English)"
metalmaxj "Metal Max (Japan)"
metalmec "Metal Mech - Man & Machine (USA)"
metalslaglo "Metal Slader Glory (Hack, English)"
metalslagloj "Metal Slader Glory (Japan)"
metalstorm "Metal Storm (USA)"
metalstormrr "Metal Storm - Re-Release (Mapper 268)"
metrocross "Metro-Cross (Japan)"
metroid "Metroid (USA)"
metroidc "Metroid (Hack, Spanish v2.0)"
metroidle "Metroid - Linear Version (Hack)"
metroidmother "Metroid mOTHER (GlobalHack)"
metroorienh "Metroid - Origin Enhanced (GlobalHack, v2.1.2)"
metrorogdaw "Metroid - Rogue Dawn (GlobalHack, v1.21)"
micemission "Mice Mission (Unl)"
michaandsworgrpr "Michael Andretti's World Grand Prix (USA)"
mickemou "Mickey Mousecapade (USA)"
mickemouiii "Mickey Mouse III - Yume Fuusen (Hack, English)"
mickemouiiij "Mickey Mouse III - Yume Fuusen (Japan)"
mickeymania7 "Mickey Mania 7 (Taiwan) (Unl)"
micromachines "Micro Machines (USA)"
micromages "Micro Mages (HB)"
micromages2 "Micro Mages - Second Quest (HB)"
miedow "Miedow (HB)"
mig29 "MiG 29: Soviet Fighter (USA)"
mightfinfig "Mighty Final Fight (USA)"
mightfinfigc "Mighty Final Fight (Hack, Spanish)"
mightfinfigj "Mighty Final Fight (Japan)"
mightybombjack "Mighty Bomb Jack (USA)"
miketysspunout "Mike Tyson's Punch-Out!! (Japan, USA, Rev A)"
milli "Millipede - Kyodai Konchuu no Gyakushuu (Japan)"
millipede "Millipede (USA)"
milonssc "Milon's Secret Castle (USA)"
milonsscj "Miron no Daibouken (Japan)"
minelsag "Minelvaton Saga - Ragon no Fukkatsu (Hack, English)"
minelsagj "Minelvaton Saga - Ragon no Fukkatsu (Japan)"
minibrix "Mini Brix Battle (HB)"
miniputt "Mini Putt (Japan)"
minkymomo "Mahou no Princess Minky Momo - Remember Dream (Hack, English)"
minkymomoj "Mahou no Princess Minky Momo - Remember Dream (Japan)"
minnanotaabou "Minna no Taabou no Nakayoshi Daisakusen (Hack, English v1.01)"
minnanotaabouj "Minna no Taabou no Nakayoshi Daisakusen (Japan)"
miracrops "Miracle Ropit's - 2100 Nen no Daibouken (Japan)"
miraisen "Mirai Senshi: Lios (Hack, English)"
miraisenj "Mirai Senshi: Lios (Japan)"
mirohjr "Miroh Jr. (HB)"
mirohv1 "Miroh (HB, v1.0.1)"
mirohv2 "Miroh (HB, v2.0.1)"
miscastle "Mischief Castle (HB)"
missiimp "Mission Impossible (USA)"
missiimpc "Mission Impossible (Hack, Chinese)"
missioncobra "Mission Cobra (USA) (Unl)"
missisatjik "Mississippi Satsujin Jiken (Hack, English)"
missisatjikj "Mississippi Satsujin Jiken (Japan)"
mitokou "Mito Koumon - Sekai Manyuu Ki (Japan)"
mitsumegatooru "Mitsume ga Tooru (Hack, English)"
mitsumegatooruc "Mitsume ga Tooru (Hack, Chinese v3)"
mitsumegatooruj "Mitsume ga Tooru (Japan)"
mkmadness "Minekart Madness (HB)"
mkmadnessmmc1 "Minekart Madness (HB, MMC1 ver.)"
mknight "Micro Knight (HB, v1.3)"
mknight2 "Micro Knight II (HB, v1.1)"
mkrotfs "Micro Knight - Revenge of the Four Skulls (HB)"
mnmayhem "Mine Mayhem (HB)"
moaikun "Moai-kun (Hack, English)"
moaikunj "Moai-kun (Japan)"
moerojrbas "Moero!! Junior Basket: Two on Two (Japan)"
moeroproten "Moero!! Pro Tennis (Japan)"
moerotwi "Moero TwinBee - Cinnamon Hakase o Sukue! (Japan)"
moeruoniisan "Moeru! Oniisan ~ The Burning Wild Man (Hack, English)"
moeruoniisanj "Moeru! Oniisan (Japan)"
mogmines "Mogura Mines (HB)"
mojontwiapuche "Apuntalo, Cheril (HB)"
mojontwiboo "Bootee (HB)"
mojontwichegod "Cheril The Goddess (HB)"
mojontwichewri "Cheril The Writer (HB)"
mojontwimul "Mojon Twins Multicart (HB)"
monkeyking "Monkey King (China) (Unl)"
monopoly "Monopoly (USA)"
monsterparty "Monster Party (USA)"
monstinmypoc "Monster in My Pocket (USA)"
monsttrural "Monster Truck Rally (USA)"
monterev "Montezuma's Revenge (HB, v1.1)"
mooncrystal "Moon Crystal (Hack, English)"
mooncrystalj "Moon Crystal (Japan)"
moonglow "Moonglow (HB)"
moonranger "Moon Ranger (USA) (Unl)"
moreglider "More Glider (HB)"
mortakom3 "Mortal Kombat 3 - Special 56 Peoples (Taiwan) (Unl)"
mortakomiiispe "Mortal Kombat III Special (Taiwan) (Unl)"
mortakomiispe "Mortal Kombat II Special (Taiwan) (Unl)"
mortalkombat4 "Mortal Kombat 4 (Unl)"
mortalkombat4h "Mortal Kombat 4 (Hack, UMK3)"
moshlift "Mosh Lift (HB)"
mothe25tannedi "Mother - 25th Anniversay Edition (Hack, v1.11)"
mother "Mother (Japan)"
motoccha "Motocross Champion (Hack, English)"
motocchaj "Motocross Champion (Japan)"
motorcitpat "Motor City Patrol (USA)"
mottoabudek "Mottomo Abunai Deka (Japan)"
mourysenmad "Mouryou Senki Madara (Hack, English)"
mourysenmadj "Mouryou Senki Madara (Japan)"
mrgimmick "Mr. Gimmick (Euro)"
mrmaycl "Mr. Maymunshines Christmas Land (HB)"
mrsplash "Mr. Splash (HB)"
mspacman "Ms. Pac-Man (USA) (Tengen)"
mspacmanu "Ms. Pac-Man (USA) (Namco)"
mule "M.U.L.E. (USA)"
multidude "Multidude (HB)"
multidudee "MultiDude - Evercade Edition (HB)"
mummypuzzle "Mummy Egyptian Puzzle (HB, v1.1)"
muppeadv "Muppet Adventure - Chaos at the Carnival (USA)"
murdmaze "Murder in the Maze (HB, v1.01)"
musasnobouken "Musashi no Bouken ~ Adventures of Musashi Jr, The (Hack, English)"
musasnoboukenj "Musashi no Bouken (Japan)"
musasnoken "Musashi no Ken - Tadaima Shugyou Chuu (Hack, English)"
musasnokenj "Musashi no Ken - Tadaima Shugyou Chuu (Japan)"
muscle "M.U.S.C.L.E. (USA)"
musheaven "Mushroom Heaven (Hack)"
mutanvir "Mutant Virus, The (USA)"
mysteryquest "Mystery Quest (USA)"
mystewordiz "Mystery World Dizzy (HB)"
mysticorigins "Mystic Origins (HB)"
mystpillars "Mystic Pillars (HB)"
nalleland "Nalle Land (HB, v0.4.0)"
namcoclassic "Namco Classic (Japan)"
namcoclassicii "Namco Classic II (Japan)"
nantebas "Nantettatte!! Baseball (Hack, English)"
nantebasj "Nantettatte!! Baseball (Japan)"
napoleonsenki "Napoleon Senki (Japan)"
narc "NARC (USA)"
ncc "Nintendo Campus Challenge 1991 (USA)"
nebsanddebs "Nebs and Debs (HB)"
necronancy "Secret of NecroNancy, The (HB, Prototype)"
nekkekakden "Nekketsu Kakutou Densetsu (Hack, English v0.95)"
nekkekakdenj "Nekketsu Kakutou Densetsu (Japan)"
nekkekoukunkun "Nekketsu Kouha Kunio-kun (Japan)"
nekkestrbas "Nekketsu! Street Basket - Go for it, Dunk Heroes (Hack, English v1.2)"
nekkestrbasc "Nekketsu! Street Basket - Ganbare Dunk Heroes (Hack, Chinese v2)"
nekkestrbascastc "Nekketsu! Street Basket - Go for it, Dunk Heroes (Hack, Spanish)"
nekkestrbasj "Nekketsu! Street Basket - Ganbare Dunk Heroes (Japan)"
nekkoudbsochen "Nekketsu Koukou Dodgeball-bu - Soccer Hen (Japan)"
nemulesis "neMULEsis (HB, v2.25.23)"
neoheiali "NEO Heiankyo Alien (HB)"
nescape "NEScape (HB)"
nesertgolf "NESert Golfing (HB)"
nesertgolfte "NESert Golfing - Tournament Edition (HB)"
nesopetougol "NES Open Tournament Golf (USA)"
nessyrobot "Nessy the NES Robot (HB, v1.30)"
nesvircle "Virus Cleaner (HB)"
neswars "NES Wars (Hack, English)"
newghoii "New Ghostbusters II (Japan)"
newyornya "New York Nyankies (Japan)"
newzeasto "New Zealand Story, The (Euro)"
nigelmansworchch "Nigel Mansell's World Championship Challenge (USA)"
nightelmstreetdmk "Nightmare on Elm Street, A - Son of a Hundred Maniacs Demake (HB)"
nightonelmstra "Nightmare on Elm Street, A (USA)"
nightshade "Nightshade (USA)"
nimnom "Nim & Nom (HB, v1.2)"
ninja4s "Ninja of the 4 Seasons (HB)"
ninjacopsaizou "Ninja Cop Saizou (Japan)"
ninjacrusaders "Ninja Crusaders (USA)"
ninjacrusadersc "Ninja Crusaders - Ryuuga (Hack, Chinese)"
ninjagaiden "Ninja Gaiden (USA)"
ninjagaidenc "Ninja Gaiden (Hack, Spanish + Addendum)"
ninjagaiii "Ninja Gaiden II: The Dark Sword of Chaos (USA)"
ninjagaiiic "Ninja Gaiden II: The Dark Sword of Chaos (Hack, Spanish + Addendum)"
ninjagaiiii "Ninja Gaiden III: The Ancient Ship of Doom (USA)"
ninjagaiiiic "Ninja Gaiden III: The Ancient Ship of Doom (Hack, Spanish + Addendum)"
ninjahatkun "Ninja Hattori-kun: Ninja wa Syugyou de Gozaru (Japan)"
ninjajaj "Ninja JaJaMaru - Operation Milky Way (English)"
ninjajaje "Ninja Jajamaru - Ginga Daisakusen (Hack, English)"
ninjajajj "Ninja Jajamaru - Ginga Daisakusen (Japan)"
ninjajajkun "Ninja Jajamaru-kun (English)"
ninjajajkunj "Ninja Jajamaru-kun (Japan)"
ninjakid "Ninja Kid (USA)"
ninjakunashnosh "Ninja-kun - Ashura no Shou (Japan)"
ninjakunmajnobo "Ninja-kun - Majou no Bouken (Japan, Rev 1)"
ninjarahoi "Ninja Rahoi! (Hack English)"
