10yardfight "10-Yard Fight (USA)"
bioniccommandoc "Bionic Commando (Hack, Spanish)"
bionicom "Bionic Commando - Return of Hitler (Hack)"
biosendan "Bio Senshi Dan - Increaser Tono Tatakai (Japan)"
birdweek "Bird Week (Japan)"
bjreborndemo "Black Jewel Reborn (HB, Demo v0.165)"
blackbas2 "Black Bass 2, The (USA)"
blackbas2j "Black Bass 2, The (Japan)"
blackbassthe "Black Bass, The (Japan)"
blackboxcha "Black Box Challenge (HB)"
blackhol "Black Hole - Czarna Dziura (HB, v0.20)"
blackjack "Blackjack (USA)"
bladebuster "Blade Buster (HB)"
bladesofsteel "Blades of Steel (USA)"
blastermaster "Blaster Master (USA)"
blastermasterc "Blaster Master (Hack, Spanish)"
blastermasterj "Blaster Master ~ Chou-Wakusei Senki - MetaFight (Japan)"
blastermasterlk "Blaster Master - The Lost Key (Hack, v1.06)"
blazblocks "Blazing Blocks (HB)"
blazrang "Blazing Rangers (HB)"
blobland "Blob Land (HB)"
blobman "Blob Man (Unl)"
blobquest "Blob Quest (HB)"
blockage "Blockage (HB, v0.3.2)"
blockout "Block Out (USA)"
blodilan "Blodia Land - Puzzle Quest (Japan)"
bloodfall "Bloodfall (HB)"
bloodjur "Blood of Jurassic (China) (Unl)"
bloodwar "Bloody Warriors: Shan-Go Strikes Back (Hack, English v2.0)"
bloodwarj "Bloody Warriors: Shan-Go no Gyakushuu (Japan)"
blowemout "Blow'Em Out! (HB)"
bluemarlinthe "Blue Marlin, The (USA)"
bluesbro "Blues Brothers, The (USA)"
blueshadow "Blue Shadow (Euro)"
bmetal2 "Bare Metal 2.0 (HB)"
bobabuddies "Boba Buddies (HB)"
bobl "BoBL (HB, v1.1)"
boblv2 "BoBL - Frog Update (HB, v1.2)"
bobsixseven "Bobby Six Seven: Time Travelling Detective (HB)"
bokosukawars "Bokosuka Wars (Japan)"
bombdaisy "Bomber Daisy (Hack, v1.1)"
bomberboxart "Bomberman - BoxArt (Hack, v1.02)"
bomberman "Bomberman (USA)"
bombermanii "Bomberman II (USA)"
bombermaniij "Bomberman II (Japan)"
bombermanj "Bomberman (Japan)"
bombsweeper "Bomb Sweeper (HB)"
bonksadventure "Bonk's Adventure (USA)"
boobykids "Booby Kids (Japan)"
boogerman "Boogerman (Unl)"
bookyman "Bookyman (Unl)"
boulderdash "Boulder Dash (USA)"
boviquest "Bovinium Quest (HB)"
bowbeast "Bowels of the Beast (HB)"
bowsette2 "Bowsette 2 (Hack, Red Version)"
bramstosdra "Bram Stoker's Dracula (USA)"
bramstosdrac "Bram Stoker's Dracula (Hack, Spanish v2.0)"
breakthru "BreakThru (USA)"
bubblbobpar2 "Bubble Bobble Part 2 (USA)"
bubblebobble "Bubble Bobble (USA)"
bubblebobbledx "Bubble Bobble Deluxe (Hack)"
buckyohare "Bucky O'Hare (USA)"
buckyoharec "Bucky O'Hare (Hack, Chinese)"
buggypopper "Buggy Popper (Japan)"
bugsbunbirblo "Bugs Bunny Birthday Blowout, The (USA)"
bugsbuncracas "Bugs Bunny Crazy Castle, The (USA)"
bumpnjump "Bump'n'Jump (USA)"
buraifighter "Burai Fighter (USA)"
buraifighterj "Burai Fighter (Japan)"
burgertime "BurgerTime (USA)"
burndown "Burn'em Down (HB)"
bustina "Bustina (HB, v1.04)"
buzzwaldog "Buzz & Waldog (USA, Prototype)"
bwings "B-Wings (Japan)"
cabal "Cabal (USA)"
cadaverion "Cadaverion (HB)"
californiagames "California Games (USA)"
caltron6in1 "Caltron 6-in-1 (USA) (Unl)"
caltron9in1 "Caltron 9-in-1 (USA) (Unl)"
capcosgolmedch92 "Capcom's Gold Medal Challenge '92 (USA)"
captaameandave "Captain America and the Avengers (USA)"
captaameandavec "Captain America and the Avengers (Hack, Chinese)"
captacom "Captain Comic - The Adventure (USA)"
captained "Captain ED (Japan)"
captainsaver "Captain Saver (Japan)"
captainsilver "Captain Silver (Japan)"
captainskyhawk "Captain Skyhawk (USA, Rev A)"
captaintsubasa "Captain Tsubasa (Japan)"
captaplaandpla "Captain Planet and the Planeteers (USA)"
captatsuvolii "Captain Tsubasa Vol. II - Super Striker (Hack, English)"
captatsuvoliic "Captain Tsubasa Vol. II - Super Striker (Hack, Spanish)"
captatsuvoliij "Captain Tsubasa Vol. II - Super Striker (Japan)"
carpetshark "Carpet Shark (HB)"
casinokid "Casino Kid (USA)"
casinokid2 "Casino Kid 2 (USA)"
castelian "Castelian (USA)"
castleexcellent "Castle Excellent (Japan)"
castleofdeceit "Castle of Deceit (USA)"
castleofdragon "Castle of Dragon (USA)"
castlequest "Castlequest (USA)"
castlevania "Castlevania (USA)"
castlevaniac "Castlevania (Hack, Spanish)"
castlevaniacom "Castlevania: Chorus of Mysteries (Hack, v1.1)"
castlevaniahr "Castlevania: The Holy Relics (Hack)"
castlevanialt "Castlevania: The Last Tear (Hack, v4.0)"
castlii "Castlevania II - Simon's Quest (USA)"
castliic "Castlevania II - Simon's Quest (Hack, Spanish v2.0)"
castliih "Castlevania II - Simon's Quest (Hack, Re-translation + Map)"
castliii "Castlevania III - Dracula's Curse (USA)"
castlsim "Castlevania - Simplified (Hack)"
catmercs "Catmercs - Big Bug Invasion (HB, RC1)"
catnintey "Cat Ninden Teyandee (Hack, English)"
catninteyj "Cat Ninden Teyandee (Japan)"
catventuen "Catventure: The Red Cat Quest (HB, English)"
catventuru "Catventure: The Red Cat Quest (HB, Russian)"
cave "Cave (HB)"
cavedrill "Cave Driller (HB, v2.2)"
cavedrillv3 "Cave Driller (HB, v3.0)"
celestedemo "Celeste (HB, Demo v1.00)"
celestemario "Celeste Mario's Zap & Dash! (Hack)"
cerealcafe "Cereal Cafe (HB)"
cgestique "Changeable Guardian ESTIQUE (USA)"
cgestiquegf "Changeable Guardian ESTIQUE (USA, Glitch Fixed Version)"
chacknpop "Chack'n Pop (Japan)"
challdra "Challenge of the Dragon (USA)"
challenger "Challenger (Japan)"
champbow "Championship Bowling (USA)"
champlodrun "Championship Lode Runner (Japan)"
chaosworld "Chaos World (Hack, English)"
chaosworldj "Chaos World (Japan)"
chase "Chase (HB)"
cheman "Che-Man (HB)"
cherilpc "Cheril Perils Classic (HB)"
chessmaster "Chessmaster, The (USA)"
chestfie "Chester Field - Ankoku Shin e no Chousen (Japan)"
chickenfarm "Chicken Of The Farm (HB)"
chiisoba "Chiisana Obake - Acchi Socchi Kocchi (Hack, English)"
chiisobaj "Chiisana Obake - Acchi Socchi Kocchi (Japan)"
chikichimacmoura "Chiki Chiki Machine Mou Race (Japan)"
chikichimacmourac "Chiki Chiki Machine Mou Race (Hack, Chinese)"
chiller "Chiller (USA)"
chinarabbab "China Rabbit Baby (Taiwan) (Unl)"
chipndalresra "Chip 'n Dale - Rescue Rangers (USA)"
chipndalresra2 "Chip 'n Dale - Rescue Rangers 2 (USA)"
chipndalresra2c "Chip 'n Dale - Rescue Rangers 2 (Hack, Spanish v0.99)"
chipndalresra2sc "Chip 'n Dale - Rescue Rangers 2 (Hack, Chinese v1.13)"
chipndalresrac "Chip 'n Dale - Rescue Rangers (Hack, Spanish v2.1)"
chipndalresrasc "Chip 'n Dale - Rescue Rangers (Hack, Chinese v1.1)"
chitesenvaz "Chitei Senkuu Vazolder (Japan)"
chiyonoooi "Chiyonofuji no Ooichou (Japan)"
chknight "Chrono Knight (HB)"
choplifter "Choplifter (Japan)"
choujsenjet "Choujin Sentai Jetman (Hack, English)"
choujsenjetj "Choujin Sentai Jetman (Japan)"
choujsenwar "Choujinrou Senki Warwolf (Japan)"
choujyou "Choujikuu Yousai - Macross (Japan)"
chouyokushenki "Chouyoku Senki ESTIQUE (Japan)"
chouyokushenkigm "Chouyoku Senki ESTIQUE (God Mode, Hack)"
christmascrisis "Christmas Crisis (HB)"
chubbycherub "Chubby Cherub (USA)"
chuchua "ChuChu Rocket! (HB, v. alpha)"
chumleeadv "Chumlee's Adventure - The Quest for Pinky (HB)"
chuukataisen "Chuuka Taisen - Cloud Master (Hack, English)"
chuukataisenj "Chuuka Taisen (Japan)"
circuscaper "Circus Caper (USA)"
circuscharlie "Circus Charlie (Japan)"
cityconnection "City Connection (USA)"
citytrouble "City Trouble (HB)"
cjeleant "CJ's Elephant Antics (USA)"
clashatdem "Clash at Demonhead (USA)"
cliffhanger "Cliffhanger (USA)"
clucluland "Clu Clu Land (World)"
cmbr4wl "Chibi Monster Br4wl (HB)"
cmc80sdemo "CMC 80's Demo (HB, Tech-Demo)"
cobol "Cobol (HB)"
cobracommand "Cobra Command (USA)"
cobramission "Cobra Mission (Asia)"
cobratriangle "Cobra Triangle (USA)"
cocoron "Cocoron (Hack, English)"
cocoronj "Cocoron (Japan)"
codenam "Code Name - Viper (USA)"
coinworld "Coin World (HB)"
coldstarving "Cold & Starving (HB)"
coloradinosaur "Color A Dinosaur (USA)"
commando "Commando (USA)"
conan "Conan (USA)"
conflict "Conflict (USA)"
conqucrypal "Conquest of the Crystal Palace (USA)"
contra "Contra (USA)"
contra168in1 "Contra 168-in-1 (Unl)"
contrac "Contra (T-Chi)"
contracast "Contra (Hack, Spanish)"
contracs "Contra - The Last Rebirth (Hack, Chinese)"
contraforce "Contra Force (USA)"
contraforcec "Contra Force (2nd option) (Hack, Chinese)"
contrags "Contra Gender Swap (Hack)"
contraj "Contra (Japan)"
contramdl "Contra - Demon Contra (Hack, Chinese)"
contraspiritfix "Contra Spirits (Hack, ending fixed)"
contraspirits "Contra Spirits (Taiwan) (Unl)"
contrat "Contra (Hack, English)"
contrredfalwar "Contra: Red Falcon War (Hack)"
contrrevredfal "Contra: Revenge of the Red Falcon (Hack)"
convoy "Convoy, The (HB)"
coolworld "Cool World (USA)"
copjack "Copper Jacket (HB)"
correbenny "Corre Benny (Euro, Spain)"
cosmicepsilon "Cosmic Epsilon (Japan)"
cosmogenesis "Cosmo Genesis (Hack, English v1.1)"
cosmogenesisj "Cosmo Genesis (Japan)"
cosmopolgal "Cosmo Police Galivan (Hack, English)"
cosmopolgalj "Cosmo Police Galivan (Japan)"
cosmwars "Cosmic Wars (Hack, English v0.999)"
cosmwarsj "Cosmic Wars (Japan)"
courier "Courier (HB)"
cowboykid "Cowboy Kid (USA)"
cowligam2ndadv "Cowlitz Gamers 2nd Adventure (HB)"
cowligamadv "Cowlitz Gamers Adventure (HB)"
cowligamlostadv "Cowlitz Gamers Lost Adventure (HB)"
crabbieatk "Crabbie Attack! (HB)"
crapjob "Crap Job (HB)"
crashnboy "Crash 'n' the Boys - Street Challenge (USA)"
cratersong "Crater Song (HB, v1.3)"
cratersongde "Crater Song - Definitive Edition (HB, Rev 2)"
crayoshicha "Crayon Shin-chan - Ora to Poi Poi (Japan)"
crazyclimber "Crazy Climber (Japan)"
creatom "Creatom (Unl)"
creepybrawlers "Creepy Brawlers (HB)"
crillion "Crillion (HB, v1.1)"
crimebusters "Crime Busters (USA)"
crisisforce "Crisis Force (Hack, English)"
crisisforcej "Crisis Force (Japan)"
crossfire "Cross Fire (Japan)"
crypto "Crypto (HB)"
crystalis "Crystalis (USA)"
crystalisc "Crystalis (Hack, Spanish)"
cspalace "Caesars Palace (USA)"
cstlquest "Castle Quest (Hack, English v2.01)"
cstlquestj "Castle Quest (Japan)"
cursedcrown "Cursed Crown (HB)"
cyber "Cybernoid - The Fighting Machine (USA)"
cybercoaster "Cybercoaster (HB)"
cyberstaser "Cyber Stadium Series - Base Wars (USA)"
cyclerac "Cycle Race - Road Man (Japan)"
dai2jisuprota "Dai-2-ji Super Robot Taisen (Hack, English)"
dai2jisuprotaj "Dai-2-ji Super Robot Taisen (Japan)"
dai2jisuprotajc "Dai-2-ji Super Robot Taisen (Hack, Spanish)"
