1942sgm "1942 (SGM) (HB)"
kingvalley "King's Valley (SGM) (HB)"
kngtlore "Knight Lore (SGM) (HB)"
kngtmare "Knightmare (Team Pixelboy) (SGM) (HB)"
kngtmareoc "Knightmare (Opcode) (SGM)"
knightmore "Knight'n More (HB)"
kobashi "Kobashi (HB)"
krtetris "Kralizec Tetris (HB)"
ksolitaire "Klondike Solitaire (HB)"
kubjpok "Ken Uston Blackjack-Poker"
kungfumstr "Kung-Fu Master (SGM) (HB)"
labbaye "L'Abbaye des Morts (HB)"
ladybug "Lady Bug"
lancelot "Sir Lancelot"
leeper "Learning with Leeper"
lgracing "Light Grid Racing (HB)"
lift "Lift (HB)"
linklogc "Linking Logic"
locknchase "Lock'n Chase (HB)"
locomotion "Loco-Motion (SGM) (HB)"
loder2013 "Lode Runner 2013 (HB)"
loderunner "Lode Runner (HB)"
logiclvl "Logic Levels"
looping "Looping"
magtree "Magical Tree (HB)"
majikazo "Majikazo (SGM) (HB)"
mappy "Mappy (SGM) (HB)"
mario "Mario Brothers Final Edition (HB, Rev D)"
mariob "Mario Brothers (HB)"
mash "M*A*S*H (Prototype)"
mazemaniac "Maze Maniac (HB)"
mazezam "MazezaM (HB)"
mazezamch "MazezaM Challenge (HB)"
mecha8 "Mecha-8 (SGM) (HB)"
mecha9 "Mecha-9 (SGM) (HB)"
memmanor "Memory Manor"
meteosho "Meteoric Shower"
mikie "Mikie (HB)"
mindmstr "Escape from the Mindmaster (Prototype)"
mindwalls "Mindwalls (HB)"
mine2049 "Miner 2049er"
mine2049a "Miner 2049er (Alt)"
misstrike "Missile Strike (HB)"
mking "Mountain King"
mkinga "Mountain King (Alt)"
mmtxvol1 "Memotech MTX Series Vol.1 (HB)"
mmtxvol2 "Memotech MTX Series Vol.2 (HB)"
moai "Secret of Moai (SGM) (HB)"
mobplansty "Mobile Planet Styllus (SGM) (HB)"
moduleman "Module Man (HB)"
monacogp "Monaco GP (HB)"
monkey "Monkey Academy"
monsthouse "Monster House (SGM) (HB)"
montezum "Montezuma's Revenge"
mooncresta "Mooncresta (SGM) (HB)"
moonswpr "Moonsweeper"
moonswpra "Moonsweeper (Alt)"
mopirang "Mopiranger (HB)"
mpatrol "Moon Patrol"
mpatrolp "Moon Patrol (Prototype)"
mrchin "Mr. Chin (HB)"
mrdo "Mr. Do!"
mrdoa "Mr. Do! (Alt)"
mrdorunrun "Mr. Do! Run Run (SGM) (HB)"
mrdowr "Mr. Do's Wild Ride (HB)"
msolitaire "Mahjong Solitaire (HB)"
msspacefury "Ms. Space Fury (HB)"
mtcracer "Motocross Racer"
mtcracera "Motocross Racer (Alt)"
mtrap "Mousetrap"
mtrapa "Mousetrap (Alt)"
multiverse "Multiverse (HB)"
mummymaze "Mummy Maze (HB)"
munchmouse "Muncher Mouse (HB)"
musicbox "Music Box (Demo)"
nethdungeon "Nether Dungeon (Hack, HB)"
neuras "Neuras (HB)"
nibbli "Nibbli: Son of Nibbler (HB)"
nim "Nim (HB)"
ninjaprincess "Ninja Princess (SGM) (HB)"
novablst "Nova Blast"
nsub "N-Sub (HB)"
numbump "Number Bumper"
oilswell "Oil's Well"
oilswella "Oil's Well (Alt)"
omegrace "Omega Race"
onlyrock "It's Only Rock 'n' Roll"
opwolf "Operation Wolf (SGM) (HB)"
orbit "Orbit (Prototype)"
