1943kai "1943 Kai (Japan)"
momogdn "Momotarou Densetsu Gaiden Dai 1 Shuu (Japan)"
momoktsg "Momotarou Katsugeki (Japan)"
momotrbo "Momotarou Densetsu Turbo (Japan)"
moritash "Morita Shougi PC (Japan)"
motoroad "Moto Roader (Japan)"
motorod2 "Moto Roader II (Japan)"
motorod2a "Moto Roader II (Japan, Alt)"
mrheli "Mr. Heli no Daibouken (Japan)"
mrheli1 "Mr. Heli no Daibouken (Japan, Alt)"
nantet "Nantettatte Engine (HB)"
naxopen "Naxat Open (Japan)"
naxstad "Naxat Stadium (Japan)"
nazomasq "Nazo no Masquerade (Japan)"
necromcr "Necromancer (Japan)"
necros "Necros no Yousai (Japan)"
nectaris "Nectaris (Japan)"
nekdodge "Nekketsu Koukou Dodgeball Bu - PC Bangai Hen (Japan)"
neksoccr "Nekketsu Koukou Dodgeball Bu - Soccer PC Hen (Japan)"
neutopi2 "Neutopia II (Japan)"
neutopia "Neutopia (Japan)"
nhktaidr "NHK Taiga Drama - Taiheiki (Japan)"
nicklaus "Jack Nicklaus' Greatest 18 Holes of Major Championship Golf (Japan)"
nikopun "Niko Niko, Pun (Japan)"
ninjawar "Ninja Warriors, The (Japan)"
nryukend "Ninja Ryukenden (Japan)"
oboccha "Obocchama-kun (Japan)"
offthewall "Off the Wall (Prototype)"
opwolf "Operation Wolf (Japan)"
ordyne "Ordyne (Japan)"
outlive "Out Live (Japan)"
outlivee "Out Live (Hack, English v1.1)"
outrun "Out Run (Japan)"
override "Override (Japan)"
p47 "P-47: The Freedom Fighter (Japan)"
pachikun "Pachio Kun - Juuban Shoubu (Japan)"
pacland "Pac-Land (Japan)"
paranoia "Paranoia (Japan)"
parasol "Parasol Stars - The Story of Bubble Bobble III (Japan)"
parodius "Parodius da! - Shinwa Kara Owarai He (Japan)"
pcdenj "PC Denjin - Punkic Cyborgs (Japan)"
pcdenja "PC Denjin: Punkic Cyborgs (Japan, Alt)"
pcgenj "PC Genjin: Pithecanthropus Computerurus (Japan)"
pcgenj2 "PC Genjin 2: Pithecanthropus Computerurus (Japan)"
pcgenj3 "PC Genjin 3: Pithecanthropus Computerurus (Japan)"
pcgenj3t "PC Genjin 3: Pithecanthropus Computerurus (Taikenban) (Japan)"
pcgenja "PC Genjin: Pithecanthropus Computerurus (Japan, Alt)"
pcpachi "PC Pachi-slot (Japan)"
pdrift "Power Drift (Japan)"
pdrift1 "Power Drift (Japan) (Alt)"
pgolf "Power Golf (Japan)"
photoboy "Photograph Boy (Hack, English)"
pleag2 "Power League II (Japan)"
pleag3 "Power League III (Japan)"
pleag4 "Power League IV (Japan)"
pleag5 "Power League V (Japan)"
pleag93 "Power League '93 (Japan)"
pleagas "Power League - All Star Version (Japan)"
pleague "Power League (Japan)"
populous "Populous (Japan)"
populous1 "Populous (Japan) (Alt)"
power11 "Power Eleven (Japan)"
powergat "Power Gate (Japan)"
proyak "Pro Yakyuu World Stadium (Japan)"
proyak89 "Kore Ga Pro Yakyuu '89 (Japan)"
proyak90 "Kore Ga Pro Yakyuu '90 (Japan)"
proyak91 "Pro Yakyuu World Stadium '91 (Japan)"
psports "Power Sports (Japan)"
psychas "Psycho Chaser (Japan)"
ptennis "Power Tennis (Japan)"
ptennwc "Pro Tennis World Court (Japan)"
puzzlboy "Puzzle Boy (Japan)"
puzznic "Puzznic (Japan)"
quizts "Quiz Toukou Shashin (Japan)"
rabiolep "Rabio Lepus Special (Japan)"
